"STATION","NAME","DATE","SNOW"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-01","18"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-02","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-03","119"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-12","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-01","129"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-02","69"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-03","122"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-01","267"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-02","77"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-03","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-04","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-12","397"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-01","189"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-02","254"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-03","234"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-01","84"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-02","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-03","3"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-12","345"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-01","108"
