"STATION","NAME","DATE","SNOW","TSUN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-01","0","8585"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-02","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1998-12","13",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01","56",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02","5",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03","221",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2000-01","367",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2000-02","23",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2000-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2000-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2000-05","0",
